h,blad_przod,blad_centralna
1e-08,0.0662684,0.0662684
1.2045e-08,0.0346439,0.0346439
1.45083e-08,0.0083887,0.0083887
1.74753e-08,0.0134087,0.0134087
2.1049e-08,0.0315054,0.0315054
2.53536e-08,0.026937,0.00857034
3.05386e-08,0.0019903,0.013258
3.67838e-08,0.0187209,0.0313803
4.43062e-08,0.00612459,0.00438547
5.3367e-08,0.019614,0.0108884
6.42807e-08,0.00408922,0.0113334
7.74264e-08,0.000288792,0.00572545
9.32603e-08,0.00016097,0.0051541
1.12332e-07,0.0126562,0.00851081
1.35305e-07,0.00390042,0.000458851
1.62975e-07,8.58307e-06,8.58307e-06
1.96304e-07,0.00138899,0.00138899
2.36449e-07,0.00210632,0.000136919
2.84804e-07,0.000995763,0.000639267
3.43047e-07,0.00217227,0.00081484
4.13201e-07,0.0017156,0.000588641
4.97703e-07,0.000236616,0.00117224
5.99484e-07,0.00037358,0.00115035
7.22081e-07,4.69908e-05,0.000691883
8.69749e-07,6.71744e-05,0.000602573
1.04761e-06,1.79335e-05,0.000426568
1.26186e-06,0.00104516,0.000676133
1.51991e-06,0.000102505,0.000203863
1.83074e-06,0.000569128,0.000314772
2.20513e-06,0.000371739,0.000160567
2.65609e-06,7.83429e-05,0.000253662
3.19927e-06,0.000230148,8.45939e-05
3.85353e-06,0.000360779,0.000239938
4.64159e-06,0.000209764,0.000209764
5.59081e-06,5.78389e-05,5.78389e-05
6.73415e-06,4.6894e-05,2.22623e-05
8.11131e-06,1.15857e-05,6.89998e-05
9.77009e-06,0.000111863,6.42017e-05
1.17681e-05,5.83231e-05,1.87531e-05
1.41747e-05,2.25008e-05,5.53578e-05
1.70735e-05,6.34715e-05,3.61949e-05
2.05651e-05,1.30832e-05,9.55909e-06
2.47708e-05,1.5527e-05,2.20761e-05
2.98365e-05,2.25157e-05,8.70228e-06
3.59381e-05,4.03449e-05,1.44318e-05
4.32876e-05,3.45856e-05,2.31713e-06
5.21401e-05,3.6031e-05,3.12924e-07
6.28029e-05,4.69163e-05,9.84222e-06
7.56464e-05,6.59078e-05,1.05053e-05
9.11162e-05,6.27562e-05,6.54161e-06
0.00010975,6.19069e-05,5.98282e-06
0.000132194,7.37458e-05,7.27177e-06
0.000159228,0.000100903,4.38839e-06
0.000191791,0.000119954,9.83477e-07
0.000231013,0.000141703,6.03497e-07
0.000278256,0.000164419,2.92808e-06
0.00033516,0.000200987,4.76837e-07
0.000403702,0.000242479,2.45869e-07
0.00048626,0.000290863,1.2219e-06
0.000585702,0.000353418,1.21444e-06
0.00070548,0.000424348,5.88596e-07
0.000849754,0.000511341,1.15484e-06
0.00102353,0.000615381,1.18464e-06
0.00123285,0.000741839,1.8999e-06
0.00148497,0.00089398,2.77162e-06
0.00178865,0.00107605,2.91318e-06
0.00215444,0.0012977,4.96209e-06
0.00259502,0.00156352,6.66082e-06
0.00312571,0.00188504,9.71556e-06
0.00376494,0.00227314,1.43647e-05
0.00453488,0.00274147,2.07424e-05
0.00546228,0.00330675,2.97278e-05
0.00657933,0.00399055,4.33549e-05
0.00792482,0.0048171,6.27562e-05
0.00954548,0.00581756,9.09716e-05
0.0114976,0.00702982,0.000132136
0.0138489,0.00849998,0.000191696
0.016681,0.0102854,0.000278041
0.0200923,0.0124572,0.000403345
0.0242013,0.015104,0.000585198
0.0291505,0.0183369,0.000848949
0.0351119,0.0222959,0.00123172
0.0422924,0.0271586,0.00178694
0.0509414,0.0331525,0.00259247
0.0613591,0.0405702,0.00376107
0.0739072,0.049792,0.00545633
0.0890215,0.0613162,0.0079155
0.107227,0.0758003,0.0114825
0.129155,0.0941199,0.0166556
0.155568,0.117449,0.0241565
0.187382,0.147371,0.0350285
0.225702,0.186028,0.0507757
0.271859,0.236316,0.0735557
0.327455,0.302097,0.106427
0.394421,0.388318,0.153618
0.475081,0.500587,0.22062
0.572237,0.642655,0.313366
0.689261,0.806609,0.433874
0.830217,0.940212,0.564104
1,0.859673,0.618799
